nome,genero,datanascimento,altura,peso,nacionalidade,estadonascimento,modalidade,ouro,prata,bronze
Diana,Feminino,1999-02-22,1.94,69,brasileira,SP,Volei,,,1
Gabi,Feminino,1994-05-19,1.80,59,brasileira,MG,Volei,,,
Julia Bergmann,Feminino,2001-02-21,1.91,83,alemã,Munique,Volei,,,1
Lorenne,Feminino,1996-01-08,1.87,72,brasileira,MG,Volei,,,1
Macris,Feminino,,,,brasileira,,Volei,,,
Nyeme,Feminino,,,,brasileira,,Volei,,,
Roberta,Feminino,,,,brasileira,,Volei,,,
Rosamaria,Feminino,,,,brasileira,,Volei,,,
Tainara,Feminino,,,,brasileira,,Volei,,,
Thaisa,Feminino,,,,brasileira,,Volei,,,
Adriano,Masculino,,,,brasileira,,Volei,,,
Alan,Masculino,,,,brasileira,,Volei,,,
Bruninho,Masculino,,,,brasileira,,Volei,,,
Cachopa,Masculino,,,,brasileira,,Volei,,,
Darlan,Masculino,,,,brasileira,,Volei,,,
Flávio,Masculino,,,,brasileira,,Volei,,,
Isac,Masculino,,,,brasileira,,Volei,,,
Leal,Masculino,,,,brasileira,,Volei,,,
Lucão,Masculino,,,,brasileira,,Volei,,,
Lucarelli,Masculino,,,,brasileira,,Volei,,,
Lukas Bergmann,Masculino,,,,brasileira,,Volei,,,
Thales,Masculino,,,,brasileira,,Volei,,,
Natasha Ferreira ,Feminino,,,,brasileira,,Judô,,,
Larissa Pimenta ,Feminino,,,,brasileira,,Judô,,,
Rafaela Silva ,Feminino,,,,brasileira,,Judô,,,
Ketleyn Quadros ,Feminino,,,,brasileira,,Judô,,,
Mayra Aguiar ,Feminino,,,,brasileira,,Judô,,,
Beatriz Souza ,Feminino,,,,,,Judô,,,
Michel Augusto,Masculino,,,,,,Judô,,,
William Lima ,Masculino,,,,,,Judô,,,
Daniel Cargnin ,Masculino,,,,,,Judô,,,
Guilherme Schimidt ,Masculino,,,,,,Judô,,,
Rafael Macedo,Masculino,,,,,,Judô,,,
Leonardo Gonçalves,Masculino,,,,,,Judô,,,
Rafael Silva ,Masculino,,,,,,Judô,,,
Flávia Saraiva,Feminino,,,,,,Ginastica Artistica,,,
Jade Barbosa,Feminino,,,,,,Ginastica Artistica,,,
Júlia Soares,Feminino,,,,,,Ginastica Artistica,,,
Lorrane Oliveira,Feminino,,,,,,Ginastica Artistica,,,
Rebeca Andrade,Feminino,,,,,,Ginastica Artistica,,,
Arthur Nory,Masculino,,,,,,Ginastica Artistica,,,
Diogo Soares,Masculino,,,,,,Ginastica Artistica,,,
Bárbara Domingos ,Feminino,,,,,,Ginastica rítmica,,,
Deborah Medrado,Feminino,,,,,,Ginastica rítmica,,,
Maria Eduarda Arakaki ,Feminino,,,,,,Ginastica rítmica,,,
Nicole Pírcio ,Feminino,,,,,,Ginastica rítmica,,,
Sofia Madeira ,Feminino,,,,,,Ginastica rítmica,,,
Victoria Borges ,Feminino,,,,,,Ginastica rítmica,,,
